Char,Category,Intensity
😀,JOY,0.5
😁,JOY,0.75
😂,JOY,1
😃,JOY,0.5
😄,JOY,0.6
😅,FEAR,0.75
😆,JOY,0.6
😇,JOY,0.3
😈,JOY,0.4
😉,JOY,0.4
😊,JOY,0.6
😋,JOY,0.6
😌,JOY,0.6
😍,LOVE,0.6
😎,JOY,0.6
😏,JOY,0.5
😐,ANGER,0.6
😑,ANGER,0.6
😒,ANGER,0.6
😓,FEAR,0.8
😔,CONTEMPT,0.8
😕,ANGER,0.6
😖,ANGER,0.5
😗,LOVE,0.6
😘,LOVE,0.6
😙,LOVE,0.5
😚,LOVE,0.5
😛,JOY,0.5
😜,JOY,0.5
😝,JOY,0.5
😞,SAD,0.8
😟,FEAR,0.8
😠,ANGER,0.9
😡,ANGER,1
😢,SAD,0.9
😣,SAD,0.8
😤,ANGER,0.8
😥,SAD,0.8
😦,SURPRISE,0.8
😧,SURPRISE,0.8
😨,FEAR,1
😩,FEAR,0.6
😪,FEAR,0.3
😫,SAD,0.6
😬,SURPRISE,0.5
😭,SAD,1
😮,SURPRISE,0.8
😯,SURPRISE,0.8
😰,FEAR,1
😱,FEAR,1
😲,SURPRISE,1
😳,FEAR,0.7
😴,FEAR,0
😵,SURPRISE,0.8
😶,ANGER,0.5
😷,SAD,0.6
😸,JOY,0.6
😹,JOY,1
😺,JOY,0.6
😻,LOVE,0.7
😼,ANGER,0.6
😽,LOVE,0.7
😾,ANGER,0.8
😿,SAD,0.9
🙀,SURPRISE,0.9
